PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source
Prospects for the research on geoscience knowledge graph in the Big Data Era;2021;C Zhou;;Springer;https://link.springer.com/article/10.1007/s11430-020-9750-4;TRUE;FALSE
GAKG: A Multimodal Geoscience Academic Knowledge Graph;30;C Deng;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459637.3482003;TRUE;TRUE
Construction and Application of a Knowledge Graph;2021;X Hao;;mdpi.com;https://www.mdpi.com/2072-4292/13/13/2511;TRUE;FALSE
Construction of Deposit Model-oriented Knowledge Graph;2021;Y Qun;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1755-1315/671/1/012034/meta;FALSE;FALSE
[HTML][HTML] CONSTRUCTION AND APPLICATIONS OF KNOWLEDGE GRAPH OF PORPHYRY COPPER DEPOSITS;2021;Z Yongzhang;;cyberleninka.ru;https://cyberleninka.ru/article/n/construction-and-applications-of-knowledge-graph-of-porphyry-copper-deposits;TRUE;FALSE
[PDF][PDF] GeoERA Project Vocabularies;xx;M Schiegl;;geoera.eu;https://geoera.eu/wp-content/uploads/2019/11/D4.3-GeoERA-Project-Vocabularies.pdf;FALSE;FALSE
Speedup Robust Graph Structure Learning with Low-Rank Information;30;H Xu;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459637.3482299;FALSE;FALSE
[PDF][PDF] Structural Alignment Method of Conceptual Categories of Ontology and Formalized Domain;xx;E Manziuk;;ceur-ws.org;http://ceur-ws.org/Vol-3003/paper2.pdf;FALSE;FALSE
Ecological dynamics of terrestrial and freshwater ecosystems across three mid-Phanerozoic mass extinctions from northwest China;2021;Y Huang;;royalsocietypublishing.org;https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2021.0148;FALSE;FALSE
